venue_id,name,slug,address,city,city_slug,country,latitude,longitude,rating_score,rating_volume,price_range,online,delivers,delivery_price,estimate_minutes,estimate_range,short_description,tags,scraped_at
62544bf0a9ed98487c67af76,Wolt Market Landmark,wolt-market-landmark,Bu virtual məkandır ,Baku,baku,AZE,40.37581014,49.85148647,9.6,11199,0,True,True,0.0,25,20-30,"Wolt Market ərzaq məhsulları 24/7 25 dəqiqədən az müddətdə çatdırır 🥰
Sürətli, asan və praktik məhsul çatdırılması üçün yeni bazarımızda geniş çeşidli məhsullar və böyük təkliflər kəşf edin💙","alcohol,konfet,grocery",2026-02-10T20:04:58.588174
6981dbde6e3796834ee972de,Buketeria Port Baku,buketeria-port-baku,"Neftciler Avenue,  143",Baku,baku,AZE,40.374285038530246,49.85819647714885,10.0,11,2,True,True,0.0,30,25-35,Sən + Güllər 🤍,"çiçəklər,buket",2026-02-10T20:04:59.474568
6765349ce6698abb6f377d9a,Pet Point - Xətai,pet-point-khatai,"Xətai ray., Yusif Səfərov küç. 30c",Baku,baku,AZE,40.38228303,49.86449393,9.6,150,2,True,True,0.0,30,25-35,⁠ ⁠⁠Pet Point - ev heyvanınıza yemək çatdırılması,"pet food,pet supply,it yeməyi",2026-02-10T20:05:00.238070
64a55c02e35bcf2aebe9c0d8,Camex Xəqani,camex-xaqani,Xaqani 91,Baku,baku,AZE,40.37588387,49.85289502,9.6,120,1,True,True,0.0,35,30-40,Yükdaşıma şirkəti 🚙 📦,,2026-02-10T20:05:01.061023
66d5a7d644fe86a02a073886,Zooevciller Nizami,zooevciller-nizami,"Nizami rayonu , Füzuli küçəsi 2/15",Baku,baku,AZE,40.37595624,49.83290498,9.8,97,2,True,True,0.0,30,25-35,Hər kəsin bir dosta ehtiyacı var,"pet supply,pet food,it yeməyi",2026-02-10T20:05:01.972544
63455c9847ea427925dee049,SMOKING SHOP City Center,smoking-center,Natavan döngəsi 1a,Baku,baku,AZE,40.36966119,49.83775319,9.8,501,2,True,True,0.0,25,20-30,"Sizin tütün mütəxəssisiniz!

Şəhərdə sevimli tütün mağazası!","içkilər,soft drinks,qəlyanaltılar",2026-02-10T20:05:02.779212
61484d84c0bc78013d43c27a,VOZOL Official,mana-group,Sabail district Yusif Mammadaliyev house 4 apartment 13,Baku,baku,AZE,40.36949072,49.84053136,9.2,336,2,True,True,0.0,30,25-35,Geniş çeşidli dadlar olan birdəfəlik elektron cihazlar.,Electronics,2026-02-10T20:05:03.794349
6874e680dd0a660276f65d1f,ZooLand,zooland2,"Xaqani küçəsi, 86D",Baku,baku,AZE,40.3762625,49.8540469,9.6,221,2,True,True,0.0,30,25-35,🐱🐶,"pişik yeməyi,it yeməyi",2026-02-10T20:05:04.749794
6409ca610aa734fdb855da49,HQD VapeBox Official ®️,hqd-vapebox,Akhundov lib,Baku,baku,AZE,40.37428211,49.84769474,9.0,212,3,True,True,0.0,20,15-25,HQD Zəngin dada və fərdi dizayna malik birdəfəlik buxarlandırıcılar. HQD İstifadəsi mümkün qədər sadə və yığcam.,,2026-02-10T20:05:05.611667
6720b2574d2c8ef265222a17,AlcoVol Resid Behbudov,rab-evi-rid-behbudov,Rashid Behbudov 122D,Baku,baku,AZE,40.38143827,49.84346099,9.6,277,2,True,True,0.0,25,20-30,Wine Garage🍷,"şərab,alcohol,whiskey",2026-02-10T20:05:06.494868
65310a22cbe9253de2b30c57,Hippo Baby Store,hippo,"Ismayil bey Gutgashinli, Baku",Baku,baku,AZE,40.38227659,49.81927967,9.6,1146,1,True,True,0.0,40,35-45,Öz körpəmiz üçün,baby,2026-02-10T20:05:07.765089
5e9584b437a8b74abf101d28,Qaymaq Əhməd Cavad Küç.,qaymaq-ahmad-javad-str,Ahmad Javad str. 12C,Baku,baku,AZE,40.3686363,49.83091152,9.8,183,1,True,True,0.0,25,20-30,Qaymaq keyfiyyətli və 100% təbii yerli məhsulları təqdim edən yeni eko-brenddir,"groceries,grocery",2026-02-10T20:05:08.626793
69020dcc99604dbaba4a8282,Araz Torgovaya 3,araz-torgovayaa-3,9RFV+46J Баку,Baku,baku,AZE,40.3728375,49.8430156,9.6,194,2,True,True,0.0,30,25-35,"Siz harada, Araz orada 🛒","balıq,toyuq,çay",2026-02-10T20:05:09.621517
6787793c95c26bb0e2db5030,Venskaya Skazka Nizami,venskaya-skazka-nizami,"Nasimi distr., Nizami 103",Baku,baku,AZE,40.37512936,49.84724936,9.4,266,2,True,True,0.0,20,15-25,Tortlar Bakıda🍰,"tort,şirniyyatlar,desert",2026-02-10T20:05:10.398938
619f2d1cda0b35994ee6142e,Lezzet Group Axundov,lezzet-group-akhundov,"Axundov garden, Ahmad Javad str. 1",Baku,baku,AZE,40.36838205,49.82988165,9.2,794,1,True,True,0.0,40,35-45,Ləzzətin Baş Filialı,"pankeyk,şirniyyatlar,azərbəycan",2026-02-10T20:05:11.173944
680232604050355d3e3104b3,Shusha Bakery Port Baku,shusha-bakery-yasamal,9VH8+943 Баку,Baku,baku,AZE,40.3783875,49.8652969,9.2,42,2,True,True,0.0,35,30-40,🥖🍞🥐🥨🥪🥯,"un məmulatları,şirniyyatlar",2026-02-10T20:05:11.985404
5f0339834df5108f36fd5f9d,Viva Dessert R. Behbudov,viva-dessert-r-behbudov,Rashid Behbudov str. 46,Baku,baku,AZE,40.3753937,49.84612942,9.4,143,2,True,True,0.0,25,20-30,“VIVA” Keyfiyyətə Zəmanət Verir! ....Ürəkdən!,"tort,desert,piroq",2026-02-10T20:05:12.710639
60ec284add2c134f38ef1c13,Neptun Supermarket 28 May,neptun-supermarket-28,"Nasimi district, Shemsi Bedelbeyli street 102",Baku,baku,AZE,40.37820743,49.84615619,9.0,812,1,True,True,0.0,45,40-50,Supermarket,"Supermarket,groceries,grocery",2026-02-10T20:05:13.419413
663de0f2dfd780be81258f37,Zoo Market Lisa 28 May,zoo-market-lisa-28-may,Rashid Behbudov str. 102A,Baku,baku,AZE,40.38075039,49.84368055,9.2,63,2,True,True,0.0,25,20-30,🐈‍⬛ 🐕,"pet food,pet supply,pişik yeməyi",2026-02-10T20:05:14.414690
614c238b16f03eba0ced2670,KULİNARİUM Istiqlaliyyət,kulnarum-istiqlaliyat,Istiqlaliyyət street,Baku,baku,AZE,40.36873679,49.83343934,9.4,508,2,True,True,0.0,40,35-45,Sevgi ilə Hazırlanıb Təbii Məhsulardan!,"un məmulatları,homemade,sendviç",2026-02-10T20:05:15.205666
5e4143ea77b788f4ad645783,Dietstore,bombbar-chikalab,Xaqani 20,Baku,baku,AZE,40.37437663,49.84794127,9.6,872,2,True,True,0.0,30,25-35,Azərbaycanın ən böyük pəhriz və idman qidaları seçimi!,"səhər yeməyi,kokteyl,sağlam",2026-02-10T20:05:15.932994
67ab3066c6a238820ba59d5f,Bravo Supermarket Bülbül pr.,bravo-supermarket-bulbul-ave,"Səbail rayonu, Bülbül prospekti 20",Baku,baku,AZE,40.3746426,49.84359082,8.8,141,1,True,True,0.0,25,20-30,Doğru seçim! 💙,"Supermarket,mini market,groceries",2026-02-10T20:05:16.901329
60d1e599e551d0d58d71c7b2,MEYVİ Spirits,baku-craft-lab,Said Rustamov,Baku,baku,AZE,40.3681554,49.82951228,9.6,146,2,True,True,0.0,35,30-40,#Drink. Meyvəli,alcohol,2026-02-10T20:05:18.028775
